RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
346,Gary Payton II,Gol,G,30.3,6,15.3,13.4,14.1,3,0.667,15,0.733,9,0.444,0.708,0.711,6,3.7,0.7,0.3,0.7,0.7,9.7,6.7,10.3,6.5,136.3,107.4
347,Goga Bitadze,Orl,C-F,23.7,16,14.6,15.8,11.5,18,0.667,57,0.667,12,0.167,0.594,0.611,5.9,5,1.3,0.4,1,0.6,10.9,7.1,12.1,9.2,131.3,102.8
348,Andre Drummond,Chi,C,29.7,66,12.7,20.8,21.7,121,0.537,264,0.617,3,0,0.61,0.61,5.9,6.6,0.5,0.7,0.4,1.1,12.5,6.4,13,8.5,115.3,93.5
349,Simone Fontecchio,Uta,F,27.3,50,14.2,19.6,11.4,44,0.795,107,0.421,172,0.326,0.462,0.491,5.9,1.4,0.7,0.3,0.2,0.7,7.3,6.6,8,5.1,100,114.7
350,Stanley Johnson,San,F-G,26.9,30,15.6,15.3,21.1,39,0.667,83,0.578,40,0.45,0.61,0.628,5.9,3.2,2.2,0.5,0.2,1.1,9,8.1,11.3,8.9,117.4,111.9
351,Maxi Kleber,Dal,F,31.2,37,25.1,10.4,13.8,38,0.711,57,0.667,112,0.348,0.571,0.592,5.9,3.6,1.4,0.3,0.8,0.7,9.6,7.4,11,4.9,118.4,111.1
352,Jaylin Williams,Okc,F,20.8,49,18.7,13.4,13.7,54,0.704,121,0.463,112,0.411,0.536,0.561,5.9,4.9,1.6,0.6,0.2,0.8,10.8,7.4,12.4,7.7,115.4,102.9
353,Dario Saric,Pho,F,29,37,14.4,18.7,16.8,44,0.818,109,0.45,69,0.391,0.503,0.545,5.8,3.8,1.5,0.4,0.1,1,9.6,7.4,11.2,8.9,110.5,101.7
354,Charles Bassey,San,C-F,22.4,35,14.5,15.7,23.3,37,0.595,127,0.661,8,0.375,0.656,0.658,5.7,5.5,1.3,0.5,0.9,1.2,11.2,7,12.5,9.5,120.8,105.2
355,Josh Christopher,Hou,G,21.3,63,12,22,14.9,58,0.759,231,0.545,88,0.239,0.494,0.521,5.7,1.1,1.1,0.5,0.2,0.9,6.8,6.8,7.9,6.3,102.1,115.8
356,Dewayne Dedmon,Mia,C,33.7,30,11.7,21.3,12.8,44,0.727,92,0.576,37,0.297,0.539,0.576,5.7,3.6,0.5,0.2,0.5,0.6,9.3,6.2,9.9,7.4,113.5,94.9
357,R.J. Hampton,Orl,G,22.2,26,13.9,18,15.5,37,0.838,61,0.525,53,0.34,0.518,0.572,5.7,1.5,1.3,0.6,0.2,0.8,7.2,7,8.5,6.4,111.4,111.3
358,Rodney McGruder,Det,G,31.7,32,16.4,14,6.7,22,0.818,55,0.382,97,0.423,0.543,0.566,5.7,2.3,0.9,0.5,0,0.3,8,6.6,8.9,5.6,119.3,115.2
359,Alex Caruso,Chi,G,29.1,66,23.6,11.1,21.4,73,0.808,134,0.552,149,0.369,0.553,0.59,5.6,3,2.9,1.5,0.7,1.2,8.6,8.5,11.5,6.2,115.2,104.2
360,Johnny Davis,Was,G,21.1,27,14.2,20,9,23,0.522,96,0.5,55,0.255,0.457,0.465,5.6,2.1,0.7,0.3,0.3,0.6,7.7,6.3,8.4,5.7,93.3,107.4
361,Danny Green,Cle,G,35.8,7,10.1,19.3,13.1,1,1,7,0.571,19,0.526,0.731,0.738,5.6,0.9,0.4,0.7,0.3,0.6,6.4,6,6.9,5,123.3,105.8
362,Jalen Johnson,Atl,F,21.3,68,15,15.9,11.6,76,0.632,212,0.585,100,0.28,0.532,0.55,5.6,4.1,1.2,0.5,0.5,0.6,9.7,6.8,10.9,8.1,113.4,105.4
363,Kevin Knox II,Det,F,23.7,42,14.1,16.2,15.1,33,0.788,63,0.651,116,0.371,0.589,0.612,5.6,2.6,0.4,0.3,0.3,0.8,8.2,6,8.6,5.1,109.6,108.8
364,Davion Mitchell,Sac,G,24.6,80,18.1,14.1,13.4,31,0.806,202,0.584,197,0.32,0.533,0.545,5.6,1.3,2.3,0.6,0.2,0.8,6.9,7.9,9.3,5.7,111.3,112.9
365,Derrick Rose,Nyk,G,34.5,27,12.5,23.7,12.1,12,0.917,96,0.438,63,0.302,0.443,0.463,5.6,1.5,1.7,0.3,0.2,0.8,7.1,7.3,8.8,7.8,99.4,113.5
366,Nickeil Alexander-Walker,Min,G,24.6,21,15.4,17.2,6.6,21,0.619,50,0.4,63,0.333,0.456,0.474,5.5,2,1.3,0.3,0.3,0.4,7.5,6.8,8.8,6.3,102.5,111.1
367,Wenyen Gabriel,Lal,F,26,67,15.1,14.2,14.9,84,0.619,221,0.647,36,0.278,0.615,0.626,5.5,4.2,0.5,0.4,0.5,0.7,9.7,6,10.2,6,124.8,101.3
368,Nikola Jovic,Mia,F,19.8,15,13.6,19,12.6,19,0.947,34,0.588,35,0.229,0.464,0.53,5.5,2.1,0.7,0.5,0.1,0.7,7.5,6.1,8.2,5.9,106,106.5
369,Saben Lee,Pho,G,23.8,22,14.5,18.4,17.2,49,0.735,75,0.4,21,0.381,0.438,0.51,5.5,1.9,2.5,0.7,0,0.9,7.4,8,9.9,8.2,110.7,107.9
370,Otto Porter Jr.,Tor,F,29.8,8,18.3,10.9,11.6,8,1,13,0.692,17,0.353,0.6,0.656,5.5,2.4,1,1.4,0,0.5,7.9,6.5,8.9,5.2,132.3,111.7
371,Yuta Watanabe,Bro,G-F,28.5,57,15.7,13.1,8.2,45,0.733,95,0.558,129,0.45,0.625,0.642,5.5,2.4,0.8,0.4,0.3,0.4,7.8,6.3,8.7,5.6,126.9,109.5
372,Lindell Wigginton,Mil,G,25,6,9.9,26.5,19.2,3,1,15,0.6,14,0.286,0.517,0.544,5.5,1,2.2,0,0.2,1.2,6.5,7.7,8.7,9.3,104,108.8
373,Jarrell Brantley,Uta,F,26.8,4,9.8,18.1,12.2,2,1,5,0.8,9,0.444,0.714,0.739,5.5,1.5,0.8,0,0.5,0.5,7,6.3,7.8,7.7,134.1,113.8
374,Darius Bazley,Okc,F-G,22.8,36,15.4,15.7,12.2,65,0.554,113,0.469,45,0.4,0.506,0.525,5.4,3.4,0.9,0.5,0.8,0.6,8.8,6.3,9.7,6.6,108.5,110.6
375,James Bouknight,Cha,G,22.6,33,14.8,19.3,14.6,27,0.667,80,0.425,101,0.307,0.445,0.464,5.4,2.1,1.2,0.4,0.2,0.9,7.5,6.7,8.8,6.5,90.4,109.8
376,Montrezl Harrell,Phi,F-C,29.2,56,11.8,18.6,14.6,94,0.691,195,0.615,4,0,0.603,0.634,5.4,2.7,0.6,0.3,0.4,0.6,8.2,6,8.7,7,125.4,104.9
377,Devonte' Graham,Nor,G,28.1,53,15.3,15,10.5,59,0.746,41,0.463,190,0.347,0.511,0.545,5.3,1.4,2.2,0.6,0.2,0.5,6.6,7.5,8.8,6.6,118.4,111.2
378,Lamar Stevens,Cle,F,25.7,61,18.1,13.7,8.6,57,0.702,190,0.516,95,0.316,0.502,0.526,5.3,3.3,0.5,0.4,0.3,0.4,8.7,5.9,9.2,4.6,109.5,106.7
379,Rudy Gay,Uta,F-G,36.6,56,14.6,17.7,11.4,49,0.857,157,0.484,130,0.254,0.437,0.475,5.2,2.9,1,0.3,0.3,0.7,8.1,6.3,9.2,6.8,101,110.9
380,Javonte Green,Chi,G-F,29.7,32,15,13.6,15.6,45,0.667,73,0.658,35,0.371,0.625,0.646,5.2,2.8,0.7,0.8,0.7,0.6,7.9,5.9,8.6,5.8,123.1,103.4
381,Ricky Rubio,Cle,G,32.5,32,16.9,17.4,14.3,33,0.788,89,0.427,78,0.269,0.416,0.454,5.2,2,3.4,0.8,0.2,0.9,7.2,8.5,10.6,7.8,105.3,103.7
382,Lindy Waters III,Okc,F,25.7,40,12.9,15.4,5.5,20,0.8,16,0.75,156,0.359,0.558,0.575,5.2,1.8,0.7,0.4,0.3,0.3,7,5.9,7.7,5.8,120.2,111.1
383,Ziaire Williams,Mem,F,21.6,36,14.7,17.4,16.9,18,0.778,88,0.602,89,0.247,0.486,0.503,5.2,2.1,0.7,0.4,0.1,1,7.3,5.9,8,5.4,93.1,105
384,DeAndre Jordan,Den,C,34.7,38,14.7,13.8,28.6,46,0.435,111,0.766,1,1,0.772,0.73,5.1,5.1,0.8,0.3,0.6,1.2,10.2,5.9,11,7.5,117.4,102
385,John Konchar,Mem,G,27,71,20.5,10.4,10.2,36,0.778,140,0.55,175,0.343,0.53,0.547,5.1,4.2,1.4,1,0.3,0.5,9.3,6.5,10.7,6.1,117.5,105.7
386,Zeke Nnaji,Den,F-C,22.2,51,13.5,14.4,12.8,58,0.672,123,0.707,54,0.278,0.619,0.637,5.1,2.5,0.3,0.3,0.4,0.5,7.6,5.4,7.9,4.6,125.4,103.7
387,Payton Pritchard,Bos,G,25.2,47,12.7,19.3,12.8,15,0.733,86,0.512,138,0.341,0.511,0.52,5.1,1.6,1.1,0.3,0,0.7,6.7,6.2,7.8,6.5,103.7,110.1
388,MarJon Beauchamp,Mil,F,22.5,51,13.1,18.4,15.6,37,0.73,96,0.49,137,0.328,0.491,0.513,5,2.1,0.6,0.4,0.1,0.8,7.2,5.6,7.8,5.6,99.6,104.8
389,Jaxson Hayes,Nor,C-F,22.9,47,13,15.7,16.6,83,0.699,127,0.654,29,0.103,0.561,0.605,5,2.8,0.7,0.4,0.4,0.7,7.8,5.7,8.5,6.6,117.7,103.7
390,George Hill,Mil,G,36.9,35,19.1,11.3,16.9,46,0.739,58,0.621,74,0.311,0.534,0.575,5,1.9,2.5,0.5,0.1,0.8,6.9,7.5,9.5,6,121,110.1
391,Jonathan Isaac,Orl,F,25.5,11,11.3,21.1,7,9,0.556,38,0.421,15,0.4,0.472,0.483,5,4,0.5,1.3,0.4,0.4,9,5.5,9.5,7.6,108.4,105.2
392,Derrick Jones Jr.,Chi,F,26.1,63,14,14.3,10,84,0.738,147,0.585,77,0.351,0.565,0.604,5,2.3,0.5,0.4,0.6,0.4,7.3,5.5,7.9,5.1,123.9,106.5
393,Cody Martin,Cha,F,27.5,7,19.1,12.9,5.2,7,0.571,22,0.5,14,0.214,0.431,0.448,5,3.4,1.6,0.6,0.1,0.3,8.4,6.6,10,6.3,108.1,109.6
394,Bryce McGowens,Cha,G,20.4,45,16.8,14.5,16.9,70,0.729,115,0.426,76,0.329,0.453,0.505,5,2,1.1,0.3,0.1,0.9,7,6.1,8.1,5.3,98.9,114.9
395,Mac McClung,Phi,G,24.3,1,7.8,33.7,36.8,2,1,1,0,2,0.5,0.5,0.644,5,1,0,0,0,2,6,5,6,0,82.6,119.3
396,Vlatko Cancar,Den,F,26,58,14.8,13.7,13.8,36,0.917,107,0.589,111,0.378,0.578,0.609,4.9,2.1,1.3,0.3,0.2,0.6,7.1,6.2,8.4,6.4,119.4,108.6
397,Isaiah Hartenstein,Nyk,C-F,24.9,81,19.8,11.2,17.1,71,0.676,283,0.576,37,0.216,0.547,0.567,4.9,6.6,1.2,0.6,0.8,0.8,11.5,6.1,12.7,6.8,124.4,100.9
398,Eugene Omoruyi,Okc,F,26.1,23,11.8,18.7,14.5,28,0.607,63,0.571,31,0.258,0.511,0.531,4.9,2.3,0.5,0.6,0,0.7,7.2,5.4,7.7,6,105.3,100
399,Austin Rivers,Min,G,30.7,52,19.5,10.5,9.9,39,0.769,86,0.558,123,0.35,0.538,0.564,4.9,1.6,1.4,0.5,0.1,0.4,6.5,6.3,7.9,4.6,114.6,111.9
400,Johnny Juzang,Uta,G,22.1,16,12.6,18.9,3.4,4,0.5,29,0.517,57,0.263,0.436,0.439,4.8,2.1,0.5,0.3,0.2,0.2,6.9,5.3,7.4,5.4,96.8,113.7
401,Garrison Mathews,Hou,G,26.5,45,13.4,14.3,9.6,45,0.911,15,0.467,155,0.342,0.509,0.564,4.8,1.4,0.5,0.5,0.1,0.4,6.1,5.3,6.6,4.5,117,113.7
402,Chimezie Metu,Sac,F-C,26,65,10.4,17.5,12.9,67,0.731,178,0.663,37,0.243,0.612,0.638,4.8,3,0.6,0.3,0.3,0.5,7.8,5.4,8.5,7.9,124.2,104.3
403,Mike Muscala,Bos,F-C,31.8,19,15.2,12.9,8.4,6,0.667,18,0.667,58,0.362,0.572,0.579,4.8,3.2,0.5,0.2,0.3,0.4,7.9,5.3,8.5,5.2,114.8,105.5
404,Jamal Cain,Mia,F,24.1,17,13,14.3,6.3,19,0.789,43,0.651,16,0.188,0.551,0.594,4.7,2.8,0.6,0.5,0.1,0.2,7.5,5.4,8.1,6.1,128.4,105.4
405,Danuel House Jr.,Phi,F-G,29.8,55,14.2,13.5,11.8,57,0.737,79,0.671,107,0.346,0.583,0.614,4.7,1.6,0.7,0.3,0.2,0.5,6.3,5.5,7.1,4.9,116.9,109.2
406,Keon Johnson,Por,G,21.1,40,10.4,25,19.4,41,0.659,97,0.402,81,0.346,0.455,0.482,4.7,1.1,1.5,0.5,0.2,1.1,5.8,6.2,7.3,7.6,93.5,111
407,Day'Ron Sharpe,Bro,F,21.4,47,11.2,19.4,20.3,54,0.63,154,0.552,11,0.545,0.57,0.588,4.7,4,0.7,0.3,0.6,0.9,8.8,5.4,9.5,8.4,119.8,99
408,Moses Brown,Lac,C,23.5,34,8.5,21.5,12.7,72,0.458,96,0.635,0,0,0.635,0.607,4.6,4.1,0.1,0.1,0.4,0.4,8.6,4.7,8.8,5.8,126,100.4
409,Quenton Jackson,Was,G,24.6,8,12.8,17.8,12,20,0.8,19,0.474,10,0.1,0.362,0.489,4.6,0.8,1.3,0.3,0.1,0.5,5.4,5.9,6.6,5.3,106.7,115.2
410,Kira Lewis Jr.,Nor,G,22,25,9.4,19.7,10.2,22,0.864,54,0.463,34,0.441,0.54,0.584,4.6,1.3,0.9,0.4,0.1,0.4,5.9,5.5,6.8,7.5,117.6,104.9
411,Dean Wade,Cle,F-C,26.4,43,20.2,10.2,8.5,23,0.652,48,0.583,123,0.341,0.532,0.544,4.6,3.4,0.8,0.6,0.5,0.4,8,5.4,8.8,4.6,113.1,102.7
412,TyTy Washington Jr.,Hou,G,21.4,30,13.8,17.7,8.3,16,0.625,77,0.494,78,0.218,0.41,0.423,4.6,1.4,1.6,0.4,0.1,0.5,6,6.1,7.5,6.3,97.4,116.9
413,Blake Wesley,San,G,20.1,35,17.2,18.7,23.2,42,0.619,148,0.291,47,0.34,0.344,0.375,4.6,2,2.5,0.7,0.1,1.7,6.6,7,9,6.6,77.6,113.2
414,Christian Braun,Den,G,22,74,15.3,12.7,10.8,57,0.596,180,0.556,92,0.37,0.555,0.566,4.5,2.3,0.8,0.5,0.2,0.4,6.9,5.3,7.7,5.3,114.7,109.1
415,Ousmane Dieng,Okc,F,19.9,38,13.8,15.6,11.7,18,0.611,76,0.579,90,0.267,0.482,0.492,4.5,2.6,1,0.3,0.2,0.6,7.1,5.5,8,6.6,101.3,110.3
416,Justin Holiday,Atl,F-G,34,28,14.7,14,8.8,0,0,38,0.474,87,0.345,0.504,0.504,4.5,0.8,0.9,0.2,0.4,0.4,5.3,5.4,6.2,4,101.7,113.5
417,Moses Moody,Gol,G,20.9,62,12.7,14.4,13.7,52,0.692,85,0.624,128,0.352,0.566,0.587,4.5,1.6,0.8,0.3,0.1,0.5,6.1,5.2,6.9,5.6,113.1,114.1
418,Dalano Banton,Tor,F,23.4,30,8.6,23.8,11.8,22,0.727,71,0.493,48,0.313,0.483,0.509,4.4,1.3,1,0.4,0.4,0.5,5.7,5.3,6.7,8.3,104.8,104.3
419,Jarrett Culver,Atl,G-F,24.1,10,13.7,17.1,13.9,13,0.692,31,0.516,12,0.083,0.407,0.452,4.4,3.8,0.6,0.6,0.2,0.7,8.2,5,8.8,6.3,96.6,106.2
420,A.J. Green,Mil,G,23.5,35,9.9,16.5,6.7,4,1,20,0.45,105,0.419,0.6,0.607,4.4,1.3,0.6,0.1,0,0.3,5.7,5,6.3,6.1,121.2,107.1
421,Haywood Highsmith,Mia,F,26.3,53,17.8,12.6,16.5,28,0.464,105,0.524,108,0.343,0.519,0.519,4.4,3.4,0.8,0.7,0.3,0.8,7.8,5.2,8.6,5.1,102.4,106.6
422,Justin Holiday,Dal,F-G,34,17,16,13.9,12.5,8,0.625,19,0.632,51,0.294,0.493,0.503,4.4,1.8,0.9,0.8,0.5,0.6,6.1,5.3,7.1,4.8,98.1,108
423,JaVale McGee,Dal,C-F,35.2,42,8.4,22.9,22.3,41,0.585,120,0.65,5,0.4,0.648,0.65,4.4,2.5,0.3,0.1,0.6,0.9,7,4.7,7.2,7.1,109,101.3
424,Chuma Okeke,Orl,F,24.6,26,18.7,12,11.9,21,0.762,33,0.485,78,0.282,0.441,0.474,4.4,3.5,1.2,0.6,0.4,0.6,7.9,5.6,9.2,5.7,106,108.4
425,Thaddeus Young,Tor,F,34.8,54,14.7,13.5,17.5,26,0.692,164,0.622,34,0.176,0.561,0.573,4.4,3.1,1.4,1,0.1,0.8,7.5,5.8,8.9,7.3,116.6,104.3
426,Davis Bertans,Dal,F,30.4,44,10.5,16,6.4,15,0.867,17,0.706,130,0.385,0.592,0.609,4.3,1,0.5,0.3,0.1,0.2,5.3,4.7,5.8,4.9,118.6,109
427,Bismack Biyombo,Pho,C,30.6,61,14.3,14.1,19.8,70,0.357,206,0.578,0,0,0.578,0.555,4.3,4.2,0.9,0.3,1.4,0.8,8.6,5.2,9.5,7.1,109.3,101.5
428,Malachi Flynn,Tor,G,24.9,52,12.6,17.2,9.2,29,0.724,99,0.354,129,0.349,0.45,0.469,4.3,1.4,1.3,0.4,0.1,0.4,5.7,5.6,7,6.3,103.7,109.5
429,Damian Jones,Uta,C,27.8,17,15.4,9.2,25.8,9,0.778,27,0.667,13,0.769,0.825,0.83,4.3,3.4,0.5,0.3,0.5,0.8,7.6,4.8,8.2,5,132.1,106.9
430,Xavier Sneed,Cha,F,25.3,4,12.1,12.9,22.3,4,1,4,0.5,6,0.5,0.65,0.723,4.3,1.3,1.3,0,0.3,0.8,5.5,5.5,6.8,6.4,123.6,106.6
431,Thomas Bryant,Den,C-F,25.7,17,10.8,18.5,14.2,18,0.722,54,0.481,6,0.333,0.483,0.523,4.2,3.1,0.1,0.1,0.4,0.6,7.2,4.3,7.4,4,105,103.5
432,Kessler Edwards,Sac,F,22.7,21,14.1,12.1,11.6,15,0.8,26,0.615,42,0.357,0.566,0.597,4.2,2.2,1,0.5,0.2,0.4,6.4,5.2,7.4,6,124.8,107.9
433,Blake Griffin,Bos,F,34.1,40,14.1,12.6,14.2,32,0.656,64,0.625,63,0.349,0.575,0.592,4.2,3.8,1.5,0.4,0.2,0.5,8,5.7,9.5,8.2,129,99.5
434,T.J. Warren,Pho,F,29.6,16,12.3,16,4.1,2,0.5,51,0.471,19,0.316,0.471,0.473,4.2,3.1,0.7,0.4,0.3,0.2,7.3,4.9,7.9,6.8,108.2,104.4
435,Goran Dragic,Mil,G,36.9,6,10.4,21.5,19.7,4,1,9,0,15,0.467,0.438,0.485,4.2,1.5,1.8,0.3,0,1,5.7,6,7.5,8.6,102,112.6
436,Mo Bamba,Lal,C,24.9,8,10.9,19.3,22.7,11,0.545,11,0.545,16,0.313,0.5,0.518,4.1,5,0.5,0.1,0.6,1,9.1,4.6,9.6,8,100.4,89.7
437,Bruno Fernando,Hou,F-C,24.6,31,11.7,15.1,17.7,44,0.682,92,0.522,1,0,0.516,0.561,4.1,3.9,1,0.2,1,0.6,8,5,9,8.6,118.7,101.2
438,Serge Ibaka,Mil,F,33.6,16,11.6,16.1,16.9,13,0.615,36,0.556,18,0.333,0.537,0.553,4.1,2.8,0.3,0.1,0.4,0.7,6.9,4.4,7.1,5.2,105,102.4
439,Meyers Leonard,Mil,F-C,31.1,8,10.4,16.5,16.5,6,0.833,9,0.556,16,0.375,0.56,0.597,4.1,2.8,0,0.1,0,0.6,6.9,4.1,6.9,0,110.2,98.3
440,Gary Payton II,Por,G,30.3,15,17.1,9.3,22.5,4,1,24,0.625,17,0.529,0.695,0.713,4.1,2.6,1.5,1,0.1,0.8,6.7,5.5,8.1,5.9,126.9,108.3
441,Isaiah Roby,San,F,25.2,42,11.3,17.8,16.6,41,0.488,95,0.516,60,0.3,0.49,0.497,4.1,2.5,0.9,0.4,0.2,0.7,6.6,5,7.5,7.4,96.7,110
442,Admiral Schofield,Orl,F,26,36,11.9,13.5,10.4,21,0.905,44,0.636,68,0.353,0.571,0.606,4.1,1.7,0.8,0.2,0.1,0.4,5.8,4.8,6.5,6,124.6,103.9
443,Ish Wainright,Pho,F,28.6,59,15,12.3,8.7,29,0.862,53,0.509,168,0.327,0.495,0.522,4.1,2.2,0.9,0.6,0.4,0.4,6.4,5,7.3,5.4,114.7,103.6
444,Will Barton,Tor,G,32.3,15,13.1,16,4.1,2,1,31,0.355,39,0.308,0.414,0.423,4,1.6,1.1,0.7,0.2,0.2,5.6,5.1,6.7,5.9,100,109.1
445,George Hill,Ind,G,36.9,10,14.4,10.4,17.9,6,1,12,0.667,15,0.4,0.63,0.675,4,1.5,1.8,0.6,0.3,0.6,5.5,5.8,7.3,6.1,129.2,115
446,Daishen Nix,Hou,G,21.1,56,16,15.4,26.7,36,0.667,95,0.421,138,0.29,0.429,0.45,4,1.7,2.3,0.5,0.1,1.5,5.7,6.3,8.1,6.3,88.7,117.1
447,Paul Reed,Phi,F,23.8,68,10.7,16,18.5,51,0.745,190,0.611,4,0,0.598,0.624,4,3.7,0.4,0.6,0.7,0.6,7.7,4.4,8.1,6.8,124.6,95
448,McKinley Wright IV,Dal,G,24.5,25,12.2,16.9,17.7,16,0.688,62,0.532,26,0.308,0.511,0.531,4,1.7,2.2,0.3,0.2,0.8,5.7,6.2,7.9,8.1,111.2,112.9
449,Aaron Holiday,Atl,G,26.5,62,13.1,13.2,14,32,0.844,125,0.432,83,0.422,0.512,0.54,3.9,1.2,1.3,0.6,0.2,0.5,5,5.2,6.4,5.6,111.7,111
450,Orlando Robinson,Mia,C,22.7,30,13.8,12.6,15.3,31,0.71,83,0.566,5,0,0.534,0.571,3.9,4.1,0.8,0.4,0.4,0.5,8,4.6,8.7,6.8,123.2,100.8
451,Matt Ryan,Lal,F,26,12,10.8,17.7,5.7,5,0.8,14,0.143,35,0.371,0.439,0.459,3.9,1.2,0.3,0.2,0,0.3,5.1,4.3,5.4,4.1,94.9,107.3
452,Patrick Baldwin Jr.,Gol,F,20.4,30,7.2,22.4,9.7,6,0.667,23,0.435,79,0.38,0.539,0.545,3.8,1.2,0.3,0.2,0.1,0.4,5,4.1,5.3,6.2,99.4,111.5
453,Jamaree Bouyea,Mia,G,23.8,4,16.3,12.2,23.2,2,0.5,8,0.5,5,0.4,0.538,0.54,3.8,1.3,1,1,0.5,1,5,4.8,6,4.2,93.1,107.7
454,Dyson Daniels,Nor,G,20.1,59,17.7,11.6,21.5,40,0.65,122,0.492,86,0.314,0.483,0.503,3.8,3.2,2.3,0.7,0.2,1,7,6.1,9.3,6.9,104.8,105.1
455,Darius Days,Hou,F,23.5,4,6.3,21.4,0,2,1,2,1,10,0.3,0.542,0.582,3.8,1.5,0.3,0,0.3,0,5.3,4,5.5,7.6,131.4,114.2
456,Terry Taylor,Chi,G,23.5,4,5.2,16.8,0,2,0,6,1,1,1,1.071,0.952,3.8,1,0,0,0,0,4.8,3.8,4.8,0,187.9,115.6
457,JT Thor,Cha,F,20.6,68,13.8,13,15.6,47,0.702,110,0.5,117,0.325,0.493,0.519,3.8,2.1,0.5,0.3,0.3,0.6,5.9,4.3,6.4,4.6,99.2,113
458,Nathan Knight,Min,F-C,25.5,36,7.9,18.2,19.5,55,0.691,56,0.643,22,0.364,0.615,0.656,3.7,1.5,0.4,0.3,0.2,0.5,5.2,4.1,5.6,6.6,120.7,104.8
459,Luke Kornet,Bos,F-C,27.7,68,11.3,11.3,13,37,0.811,149,0.705,11,0.273,0.684,0.706,3.7,2.8,0.7,0.1,0.7,0.4,6.5,4.4,7.1,6.9,145.9,105.1
460,A.J. Lawson,Dal,G,22.7,12,6.9,21,8.1,3,0.333,12,0.667,22,0.409,0.632,0.623,3.7,1.2,0.1,0.1,0,0.3,4.8,3.8,4.9,4.4,115.5,112
461,Jordan McLaughlin,Min,G,27,41,15.6,12.1,18.8,14,0.786,66,0.561,76,0.289,0.493,0.51,3.7,1.4,3.3,0.8,0.1,0.8,5.1,7,8.4,6.6,114.5,115.2
462,Markieff Morris,Dal,F,33.6,7,6.1,21.2,20,0,0,5,0.8,11,0.545,0.813,0.813,3.7,0.7,0.6,0.1,0,0.6,4.4,4.3,5,7.6,122.6,91.9
463,Jabari Walker,Por,F,20.7,54,10.7,17.3,12.2,39,0.769,134,0.455,52,0.308,0.457,0.492,3.7,2.3,0.6,0.2,0.2,0.5,6,4.3,6.6,6.4,105.7,109.9
464,Bryn Forbes,Min,G,29.7,25,10.7,16.2,12.6,15,1,37,0.432,46,0.304,0.446,0.497,3.6,0.6,0.7,0.3,0.1,0.5,4.2,4.2,4.8,4.3,98.6,112.7
465,Kevon Harris,Orl,G,25.8,33,13,13.1,18,34,0.794,59,0.475,36,0.333,0.484,0.541,3.6,1.9,0.4,0.5,0.2,0.6,5.5,4,5.9,4.3,105.9,105.5
466,Furkan Korkmaz,Phi,G-F,25.7,36,9,19.4,16.8,34,0.706,62,0.484,42,0.357,0.505,0.542,3.6,1.1,0.6,0.2,0.1,0.6,4.6,4.2,5.3,5.9,100.8,113.4
467,Markieff Morris,Bro,F,33.6,27,10.6,15.6,14.5,10,1,33,0.394,49,0.408,0.524,0.556,3.6,2.2,0.9,0.3,0.2,0.5,5.7,4.5,6.7,7.3,111,105
468,Matt Ryan,Min,F,26,21,8.4,15.7,6.4,7,0.857,10,0.6,48,0.396,0.595,0.614,3.6,0.6,0.5,0.1,0,0.2,4.1,4.1,4.7,4.9,121.3,113.7
469,Amir Coffey,Lac,G-F,25.8,49,12.7,13.6,12.6,63,0.778,105,0.429,40,0.275,0.424,0.498,3.5,1.1,1.1,0.1,0.1,0.4,4.6,4.6,5.7,5.1,108.5,112.5
470,Taj Gibson,Was,F,37.8,48,10,15.3,17.2,42,0.714,101,0.564,24,0.333,0.552,0.585,3.5,1.9,0.7,0.3,0.3,0.5,5.4,4.2,6.1,6.7,114.8,100.3
471,Kai Jones,Cha,C-F,22.2,45,11.8,12.8,20.6,26,0.731,101,0.624,18,0.222,0.58,0.602,3.5,2.7,0.3,0.4,0.7,0.7,6.2,3.8,6.5,4.8,107.4,106.2
472,Wesley Matthews,Mil,G,36.5,51,15.6,9.7,10.4,24,0.875,35,0.543,120,0.325,0.5,0.532,3.5,2.2,0.6,0.4,0.3,0.4,5.7,4.1,6.3,4.3,114.6,106.8
473,P.J. Tucker,Phi,F,37.9,75,25.6,6.5,16.3,23,0.826,85,0.482,140,0.393,0.549,0.566,3.5,3.9,0.8,0.5,0.2,0.6,7.5,4.3,8.3,3.5,118.7,108.3
474,Gorgui Dieng,San,C,33.2,29,10.9,17.3,21,8,0.75,35,0.571,66,0.273,0.465,0.478,3.4,3.1,1.6,0.1,0.4,0.9,6.5,5,8.1,9.4,98.4,105.7
475,Caleb Houstan,Orl,G,20.2,50,15.6,10.5,9.7,13,0.846,42,0.452,125,0.328,0.482,0.498,3.4,2,0.6,0.2,0.1,0.4,5.4,4,6,4.1,107.1,111.4
476,Kenneth Lofton Jr.,Mem,F,20.7,23,5.9,25.9,12.8,15,0.533,53,0.491,15,0.4,0.515,0.523,3.4,1.6,0.9,0.2,0.1,0.4,5,4.3,5.9,11.5,109.8,94.6
